date,team,opponent,result,attendance,contest,WL,home_score,away_score,game_number,location,auto_generate
09/14/2024,SUNY Geneseo,Rochester (NY),L 0-3,110.0,5670950,L,0,3,1,,
09/14/2024,St. John Fisher,William Smith,L 2-3,123.0,5671263,L,2,3,1,,
09/14/2024,Colby-Sawyer,JWU (Providence),L 2-3,75.0,5670926,L,2,3,1,,
09/14/2024,Colby-Sawyer,Emmanuel (MA),L 2-3,120.0,5671063,L,2,3,1,,
09/14/2024,Dean,Merchant Marine,L 1-3,50.0,5671009,L,1,3,1,,
09/14/2024,Elms,Eastern Conn. St.,L 0-3,0.0,5670873,L,0,3,1,,
09/14/2024,Emmanuel (MA),JWU (Providence),W 3-1,100.0,5670719,W,3,1,1,,
09/14/2024,Lasell,Emerson,W 3-2,47.0,5670943,W,3,2,1,,
09/14/2024,Lasell,UMass Dartmouth,L 1-3,73.0,5671059,L,1,3,1,,
09/14/2024,Mitchell,Rivier,L 2-3,75.0,5670969,L,2,3,1,,
09/14/2024,Norwich,Regis (MA),L 0-3,20.0,5670810,L,0,3,1,,
09/14/2024,Norwich,MCLA,L 1-3,35.0,5671157,L,1,3,1,,
09/14/2024,Regis (MA),MCLA,W 3-1,14.0,5671015,W,3,1,1,,
09/14/2024,Saint Joseph (CT),St. Joseph's (ME),L 0-3,50.0,5670664,L,0,3,1,,
09/14/2024,Simmons,WestConn,W 3-2,57.0,5670988,W,3,2,1,,
09/14/2024,St. Joseph's (ME),Thomas (ME),W 3-0,50.0,5670077,W,3,0,1,,
09/14/2024,Berea,Sewanee,W 3-1,200.0,5670993,W,3,1,1,,
09/14/2024,Berea,Centre,L 1-3,300.0,5671148,L,1,3,1,,
09/14/2024,Bluffton,Denison,W 3-2,75.0,5670713,W,3,2,1,,
09/14/2024,Earlham,Marietta,L 0-3,200.0,5670935,L,0,3,1,,
09/14/2024,Earlham,Muskingum,L 1-3,200.0,5671122,L,1,3,1,,
09/14/2024,Franklin,Alma,L 0-3,105.0,5670655,L,0,3,1,,
09/14/2024,Franklin,Manchester,L 2-3,105.0,5722150,L,2,3,1,,
09/14/2024,Hanover,Trine,W 3-1,47.0,5670720,W,3,1,1,,
09/14/2024,Hanover,Kenyon,W 3-1,470.0,5671067,W,3,1,1,,
09/14/2024,Manchester,St. Mary's (IN),L 2-3,105.0,5670483,L,2,3,1,,
09/14/2024,Mt. St. Joseph,Muskingum,W 3-2,312.0,5670928,W,3,2,1,,
09/14/2024,Mt. St. Joseph,Marietta,L 2-3,311.0,5671118,L,2,3,1,,
09/14/2024,Rose-Hulman,Aurora,L 0-3,50.0,5670924,L,0,3,1,,
09/14/2024,Rose-Hulman,Beloit,W 3-0,50.0,5670520,W,3,0,1,,
09/14/2024,Transylvania,Oglethorpe,W 3-0,85.0,5671022,W,3,0,1,,
09/14/2024,Catholic,Ramapo,W 3-0,76.0,5671221,W,3,0,1,,
09/14/2024,Drew,Manhattanville,W 3-2,70.0,5671156,W,3,2,1,,
09/14/2024,Elizabethtown,Chatham,W 3-2,71.0,5670983,W,3,2,1,,
09/14/2024,Juniata,Wis.-Oshkosh,W 3-1,154.0,5670859,W,3,1,1,,
09/14/2024,Juniata,Otterbein,W 3-0,138.0,5671091,W,3,0,1,,
09/14/2024,Lycoming,Bethany (WV),L 1-3,75.0,5729425,L,1,3,1,,
09/14/2024,Moravian,SUNY Maritime,W 3-0,82.0,5671132,W,3,0,1,,
09/14/2024,Scranton,Colby,L 2-3,67.0,5671177,L,2,3,1,,
09/14/2024,Scranton,NYU,L 1-3,50.0,5671278,L,1,3,1,,
09/14/2024,Susquehanna,Ithaca,L 0-3,75.0,5670729,L,0,3,1,,
09/14/2024,Wilkes,Penn St. Harrisburg,L 0-3,119.0,5670872,L,0,3,1,,
09/14/2024,Wilkes,Rutgers-Camden,L 2-3,75.0,5671096,L,2,3,1,,
09/14/2024,Bard,FDU-Florham,L 1-3,50.0,5670777,L,1,3,1,,
09/14/2024,Bard,Mt. St. Mary (NY),W 3-0,105.0,5671161,W,3,0,1,,
09/14/2024,Clarkson,Va. Wesleyan,L 0-3,50.0,5671123,L,0,3,1,,
09/14/2024,RIT,Wash. & Jeff.,L 0-3,60.0,5670832,L,0,3,1,,
09/14/2024,RIT,Fredonia,W 3-0,76.0,5671007,W,3,0,1,,
09/14/2024,Skidmore,SUNY New Paltz,L 1-3,50.0,5670844,L,1,3,1,,
09/14/2024,Skidmore,SUNY Oneonta,W 3-0,50.0,5671027,W,3,0,1,,
09/14/2024,St. Lawrence,SUNY Morrisville,L 0-3,64.0,5670992,L,0,3,1,,
09/14/2024,Union (NY),Williams,L 2-3,210.0,5670790,L,2,3,1,,
09/14/2024,Union (NY),SUNY Oneonta,W 3-0,129.0,5671142,W,3,0,1,,
09/14/2024,Vassar,Stevens,L 0-3,50.0,5670982,L,0,3,1,,
09/14/2024,Keene St.,WPI,W 3-0,200.0,5670802,W,3,0,1,,
09/14/2024,Plymouth St.,Wheaton (MA),W 3-1,155.0,5670789,W,3,1,1,,
09/14/2024,Plymouth St.,Maine Maritime,W 3-1,75.0,5671141,W,3,1,1,,
09/14/2024,Southern Me.,Mass. Maritime,W 3-0,57.0,5729433,W,3,0,1,,
09/14/2024,Southern Me.,Trinity (CT),L 0-3,51.0,5671203,L,0,3,1,,
09/14/2024,UMass Boston,MIT,L 0-3,87.0,5671165,L,0,3,1,,
09/14/2024,UMass Dartmouth,Emerson,L 1-3,58.0,5682733,L,1,3,1,,
09/14/2024,VTSU Castleton,Plattsburgh St.,W 3-2,58.0,5670812,W,3,2,1,,
09/14/2024,VTSU Castleton,SUNY Delhi,W 3-0,85.0,5671159,W,3,0,1,,
09/14/2024,Alvernia,New Jersey City,W 3-0,98.0,5670786,W,3,0,1,,
09/14/2024,Alvernia,Delaware Valley,W 3-0,73.0,5671138,W,3,0,1,,
09/14/2024,Eastern,Trinity (TX),L 2-3,389.0,5671268,L,2,3,1,,
09/14/2024,Hood,Lebanon Valley,L 1-3,147.0,5670957,L,1,3,1,,
09/14/2024,Widener,Cedar Crest,W 3-1,100.0,5670892,W,3,1,1,,
09/14/2024,Widener,DeSales,W 3-2,75.0,5671071,W,3,2,1,,
09/14/2024,York (PA),Arcadia,L 0-3,100.0,5670794,L,0,3,1,,
09/14/2024,Delaware Valley,New Jersey City,W 3-1,67.0,5671018,W,3,1,1,,
09/14/2024,FDU-Florham,Mt. St. Mary (NY),L 2-3,50.0,5670984,L,2,3,1,,
09/14/2024,King's (PA),Keystone,L 1-3,100.0,5670871,L,1,3,1,,
09/14/2024,Bridgewater St.,Salve Regina,L 1-3,80.0,5670805,L,1,3,1,,
09/14/2024,Fitchburg St.,Clark (MA),L 0-3,211.0,5670804,L,0,3,1,,
09/14/2024,Framingham St.,Husson,W 3-1,30.0,5671028,W,3,1,1,,
09/14/2024,Framingham St.,Mount Holyoke,L 2-3,66.0,5670772,L,2,3,1,,
09/14/2024,Mass. Maritime,Trinity (CT),L 0-3,34.0,5729436,L,0,3,1,,
09/14/2024,Salem St.,Gallaudet,L 1-3,50.0,5722367,L,1,3,1,,
09/14/2024,Salem St.,Bates,L 0-3,50.0,5671103,L,0,3,1,,
09/14/2024,Worcester St.,Coast Guard,L 0-3,151.0,5670799,L,0,3,1,,
09/14/2024,Worcester St.,Connecticut Col.,L 0-3,126.0,5671012,L,0,3,1,,
09/14/2024,Bethel (MN),Bethany Lutheran,W 3-0,57.0,5670900,W,3,0,1,,
09/14/2024,Carleton,Wis.-Superior,L 1-3,121.0,5671024,L,1,3,1,,
09/14/2024,Carleton,Grinnell,W 3-1,41.0,5671180,W,3,1,1,,
09/14/2024,Concordia-M'head,Marian (WI),L 2-3,58.0,5670903,L,2,3,1,,
09/14/2024,Concordia-M'head,UChicago,L 1-3,84.0,5671227,L,1,3,1,,
09/14/2024,Gustavus Adolphus,Emory,L 0-3,53.0,5670919,L,0,3,1,,
09/14/2024,Gustavus Adolphus,Northwestern-St. Paul,L 1-3,323.0,5670974,L,1,3,1,,
09/14/2024,Hamline,Ripon,W 3-1,50.0,5671128,W,3,1,1,,
09/14/2024,Macalester,Minn.-Morris,W 3-2,83.0,5670782,W,3,2,1,,
09/14/2024,Macalester,Wis.-Superior,L 1-3,148.0,5671136,L,1,3,1,,
09/14/2024,Saint Mary's (MN),Ripon,W 3-2,0.0,5670945,W,3,2,1,,
09/14/2024,St. Catherine,UChicago,L 0-3,54.0,5671084,L,0,3,1,,
09/14/2024,St. Catherine,Wis.-Eau Claire,L 1-3,294.0,5671283,L,1,3,1,,
09/14/2024,St. Olaf,Wis.-La Crosse,W 3-0,110.0,5670901,W,3,0,1,,
09/14/2024,St. Scholastica,Alverno,W 3-0,25.0,5671019,W,3,0,1,,
09/14/2024,Beloit,Aurora,L 0-3,45.0,5671240,L,0,3,1,,
09/14/2024,Grinnell,Lewis & Clark,W 3-1,67.0,5670705,W,3,1,1,,
09/14/2024,Knox,Monmouth (IL),L 0-3,200.0,5671285,L,0,3,1,,
09/14/2024,Lake Forest,Benedictine (IL),L 1-3,133.0,5670721,L,1,3,1,,
09/14/2024,Lawrence,Concordia Chicago,L 2-3,55.0,5670447,L,2,3,1,,
09/14/2024,Monmouth (IL),MSOE,W 3-0,100.0,5670865,W,3,0,1,,
09/14/2024,Albion,Texas Lutheran,L 0-3,77.0,5670709,L,0,3,1,,
09/14/2024,Albion,Heidelberg,L 2-3,52.0,5670995,L,2,3,1,,
09/14/2024,Alma,St. Mary's (IN),L 0-3,105.0,5670836,L,0,3,1,,
09/14/2024,Calvin,Whittier,W 3-1,178.0,5671040,W,3,1,1,,
09/14/2024,Calvin,Tufts,W 3-1,184.0,5671245,W,3,1,1,,
09/14/2024,Hope,Otterbein,W 3-2,225.0,5670854,W,3,2,1,,
09/14/2024,Hope,Wis.-Oshkosh,L 0-3,225.0,5671064,L,0,3,1,,
09/14/2024,Kalamazoo,Geneva,W 3-2,73.0,5670770,W,3,2,1,,
09/14/2024,Olivet,Wilmington (OH),W 3-0,50.0,5670731,W,3,0,1,,
09/14/2024,Trine,Blackburn,W 3-1,49.0,5671000,W,3,1,1,,
09/14/2024,Concordia Wisconsin,Wis.-Whitewater,L 0-3,135.0,5671058,L,0,3,1,,
09/14/2024,Concordia Wisconsin,Wis.-Stout,L 2-3,76.0,5671241,L,2,3,1,,
09/14/2024,MSOE,Westminster (MO),L 1-3,50.0,5670746,L,1,3,1,,
09/14/2024,Marian (WI),Colorado Col.,L 0-3,42.0,5670736,L,0,3,1,,
09/14/2024,St. Norbert,WashU,L 1-3,100.0,5670735,L,1,3,1,,
09/14/2024,St. Norbert,Wis.-La Crosse,W 3-2,95.0,5671083,W,3,2,1,,
09/14/2024,Wis. Lutheran,WashU,L 0-3,110.0,5671082,L,0,3,1,,
09/14/2024,Kenyon,Rhodes,L 0-3,40.0,5670507,L,0,3,1,,
09/14/2024,Ohio Wesleyan,Wis.-Platteville,L 0-3,150.0,5670761,L,0,3,1,,
09/14/2024,Ohio Wesleyan,CWRU,L 2-3,99.0,5671188,L,2,3,1,,
09/14/2024,Wittenberg,Oglethorpe,W 3-1,70.0,5670769,W,3,1,1,,
09/14/2024,Wittenberg,Berry,L 1-3,87.0,5670956,L,1,3,1,,
09/14/2024,Wooster,Waynesburg,W 3-2,115.0,5671117,W,3,2,1,,
09/14/2024,Amherst,Buffalo St.,W 3-0,53.0,5671020,W,3,0,1,,
09/14/2024,Bates,Smith,L 1-3,100.0,5671052,L,1,3,1,,
09/14/2024,Bowdoin,Springfield,L 1-3,30.0,5670849,L,1,3,1,,
09/14/2024,Colby,Wm. Paterson,W 3-2,50.0,5670749,W,3,2,1,,
09/14/2024,Connecticut Col.,Coast Guard,L 2-3,101.0,5671164,L,2,3,1,,
09/14/2024,Hamilton,SUNY Morrisville,W 3-1,87.0,5671261,W,3,1,1,,
09/14/2024,Middlebury,Wesleyan (CT),W 3-1,150.0,5670915,W,3,1,1,,
09/14/2024,Middlebury,Gallaudet,W 3-1,100.0,5671237,W,3,1,1,,
09/14/2024,Tufts,Whittier,L 0-3,100.0,5670816,L,0,3,1,,
09/14/2024,Wesleyan (CT),Smith,L 2-3,100.0,5697171,L,2,3,1,,
09/14/2024,Williams,SUNY New Paltz,W 3-0,145.0,5671026,W,3,0,1,,
09/14/2024,Mount Holyoke,Husson,W 3-0,60.0,5671147,W,3,0,1,,
09/14/2024,Springfield,Brandeis,L 2-3,50.0,5670979,L,2,3,1,,
09/14/2024,Wheaton (MA),Maine Maritime,W 3-2,59.0,5671016,W,3,2,1,,
09/14/2024,Kean,John Carroll,L 1-3,72.0,5671080,L,1,3,1,,
09/14/2024,Kean,Cortland,L 0-3,107.0,5671215,L,0,3,1,,
09/14/2024,Montclair St.,Va. Wesleyan,L 1-3,50.0,5670911,L,1,3,1,,
09/14/2024,Rutgers-Camden,Penn St. Harrisburg,L 1-3,135.0,5671208,L,1,3,1,,
09/14/2024,Wm. Paterson,NYU,L 1-3,8.0,5670931,L,1,3,1,,
09/14/2024,Lewis & Clark,Minn.-Morris,L 0-3,56.0,5671023,L,0,3,1,,
09/14/2024,Puget Sound,Chapman,W 3-0,50.0,5671031,W,3,0,1,,
09/14/2024,Puget Sound,Cal Lutheran,L 2-3,370.0,5671326,L,2,3,1,,
09/14/2024,Whitworth,Pomona-Pitzer,W 3-1,50.0,5671223,W,3,1,1,,
09/14/2024,Whitworth,Claremont-M-S,L 0-3,50.0,5671328,L,0,3,1,,
09/14/2024,SUNY Cobleskill,Notre Dame (MD),L 0-3,56.0,5671113,L,0,3,1,,
09/14/2024,SUNY Delhi,Plattsburgh St.,W 3-0,45.0,5670991,W,3,0,1,,
09/14/2024,VTSU-Johnson,SUNY Potsdam,L 0-3,31.0,5682743,L,0,3,1,,
09/14/2024,Baldwin Wallace,Grove City,W 3-0,41.0,5671121,W,3,0,1,,
09/14/2024,John Carroll,Cortland,L 0-3,109.0,5670878,L,0,3,1,,
09/14/2024,Bridgewater (VA),Hollins,W 3-0,116.0,5670813,W,3,0,1,,
09/14/2024,Bridgewater (VA),Southern Va.,W 3-0,211.0,5682652,W,3,0,1,,
09/14/2024,East. Mennonite,Roanoke,L 2-3,138.0,5670876,L,2,3,1,,
09/14/2024,East. Mennonite,Wilson,W 3-0,117.0,5671222,W,3,0,1,,
09/14/2024,Hollins,Southern Va.,L 0-3,88.0,5670990,L,0,3,1,,
09/14/2024,Lynchburg,Greensboro,L 2-3,84.0,5670814,L,2,3,1,,
09/14/2024,Lynchburg,N.C. Wesleyan,W 3-1,78.0,5670977,W,3,1,1,,
09/14/2024,Randolph,William Peace,L 1-3,250.0,5670967,L,1,3,1,,
09/14/2024,Randolph-Macon,Carnegie Mellon,L 0-3,111.0,5670930,L,0,3,1,,
09/14/2024,Roanoke,Wilson,W 3-0,62.0,5671088,W,3,0,1,,
09/14/2024,Shenandoah,Methodist,L 1-3,139.0,5671183,L,1,3,1,,
09/14/2024,Shenandoah,St. Mary's (MD),L 1-3,185.0,5681191,L,1,3,1,,
09/14/2024,Wash. & Lee,Carnegie Mellon,W 3-2,56.0,5670727,W,3,2,1,,
09/14/2024,Allegheny,Fredonia,W 3-0,104.0,5670773,W,3,0,1,,
09/14/2024,Wash. & Jeff.,Westminster (PA),W 3-0,81.0,5671176,W,3,0,1,,
09/14/2024,Centre,Sewanee,W 3-0,200.0,5670795,W,3,0,1,,
09/14/2024,Hendrix,St. Thomas (TX),W 3-2,117.0,5670695,W,3,2,1,,
09/14/2024,Hendrix,Dallas,W 3-2,113.0,5671246,W,3,2,1,,
09/14/2024,Millsaps,Austin,W 3-2,70.0,5670714,W,3,2,1,,
09/14/2024,Millsaps,Centenary (LA),W 3-0,65.0,5671046,W,3,0,1,,
09/14/2024,Rhodes,Blackburn,W 3-1,50.0,5670905,W,3,1,1,,
09/14/2024,St. Joseph's (Brkln),Valley Forge,W 3-0,42.0,5670888,W,3,0,1,,
09/14/2024,CWRU,Wis.-Platteville,W 3-0,76.0,5670994,W,3,0,1,,
09/14/2024,Emory,Wis.-Stevens Point,W 3-0,57.0,5671025,W,3,0,1,,
09/14/2024,Martin Luther,North Central (MN),L 1-3,95.0,5670978,L,1,3,1,,
09/14/2024,Northwestern-St. Paul,Wis.-Stevens Point,W 3-0,313.0,5670807,W,3,0,1,,
09/14/2024,Methodist,St. Mary's (MD),W 3-1,256.0,5670968,W,3,1,1,,
09/14/2024,Penn St. Brandywine,Penn St.-Abington,L 1-3,78.0,5670808,L,1,3,1,,
09/15/2024,Scranton,Wm. Paterson,L 0-3,30.0,5671340,L,0,3,1,,
09/15/2024,Colby,NYU,W 3-1,66.0,5682683,W,3,1,1,,
09/15/2024,St. Joseph's (L.I.),Yeshiva,W 3-0,62.0,5671347,W,3,0,1,,
09/16/2024,Immaculata,Penn St.-Abington,L 0-3,86.0,5671385,L,0,3,1,,
09/16/2024,Nichols,UMass Dartmouth,L 0-3,49.0,5671382,L,0,3,1,,
09/16/2024,Hartwick,SUNY Delhi,W 3-1,70.0,5671381,W,3,1,1,,
09/16/2024,WestConn,Purchase,W 3-0,100.0,5671387,W,3,0,1,,
09/16/2024,Mt. St. Mary (NY),Saint Elizabeth,W 3-0,73.0,5671386,W,3,0,1,,
09/17/2024,Hilbert,Houghton,L 0-3,0.0,5671465,L,0,3,1,,
09/17/2024,Mount Aloysius,Geneva,L 0-3,162.0,5671454,L,0,3,1,,
09/17/2024,Penn St.-Altoona,Lycoming,W 3-1,128.0,5671466,W,3,1,1,,
09/17/2024,Pitt.-Bradford,Fredonia,L 0-3,60.0,5671403,L,0,3,1,,
09/17/2024,Pitt.-Greensburg,Thiel,L 2-3,187.0,5671503,L,2,3,1,,
09/17/2024,East Tex. Baptist,St. Thomas (TX),W 3-2,175.0,5671443,W,3,2,1,,
09/17/2024,Buena Vista,Bethany Lutheran,L 0-3,120.0,5671521,L,0,3,1,,
09/17/2024,Pratt,UMSV,L 2-3,57.0,5671494,L,2,3,1,,
09/17/2024,Huntingdon,MUW,W 3-2,375.0,5671485,W,3,2,1,,
09/17/2024,Maryville (TN),Berea,L 0-3,50.0,5671425,L,0,3,1,,
09/17/2024,Roger Williams,Salve Regina,L 0-3,63.0,5671439,L,0,3,1,,
09/17/2024,Suffolk,Framingham St.,W 3-2,57.0,5671513,W,3,2,1,,
09/17/2024,U New England,Husson,W 3-0,117.0,5671399,W,3,0,1,,
09/17/2024,Wentworth,Emerson,L 0-3,45.0,5671512,L,0,3,1,,
09/17/2024,Baruch,York (NY),W 3-0,89.0,5671420,W,3,0,1,,
09/17/2024,Brooklyn,Medgar Evers,W 3-0,50.0,5671449,W,3,0,1,,
09/17/2024,CCNY,Lehman,W 3-0,75.0,5671424,W,3,0,1,,
09/17/2024,Hunter,Merchant Marine,W 3-1,300.0,5671505,W,3,1,1,,
09/17/2024,Bryn Mawr,Bryn Athyn,W 3-1,65.0,5671498,W,3,1,1,,
09/17/2024,McDaniel,York (PA),W 3-1,107.0,5697251,W,3,1,1,,
09/17/2024,Ursinus,Rutgers-Camden,W 3-1,56.0,5671487,W,3,1,1,,
09/17/2024,Washington Col.,Alvernia,W 3-0,46.0,5671499,W,3,0,1,,
09/17/2024,Maranatha Baptist,Alverno,L 0-3,45.0,5671479,L,0,3,1,,
09/17/2024,Trinity Washington,St. Mary's (MD),L 0-3,89.0,5674991,L,0,3,1,,
09/17/2024,Elmira,Keystone,L 0-3,110.0,5671458,L,0,3,1,,
09/17/2024,Colby-Sawyer,VTSU Castleton,W 3-0,20.0,5671432,W,3,0,1,,
09/17/2024,Emmanuel (MA),Fitchburg St.,W 3-0,112.0,5671502,W,3,0,1,,
09/17/2024,New England Col.,MCLA,W 3-2,265.0,5671438,W,3,2,1,,
09/17/2024,Norwich,Plattsburgh St.,L 0-3,125.0,5671393,L,0,3,1,,
09/17/2024,Regis (MA),WPI,L 2-3,100.0,5671431,L,2,3,1,,
09/17/2024,Saint Joseph (CT),Connecticut Col.,L 0-3,54.0,5671426,L,0,3,1,,
09/17/2024,Simmons,Babson,L 0-3,115.0,5671389,L,0,3,1,,
09/17/2024,St. Joseph's (ME),Plymouth St.,L 1-3,100.0,5671427,L,1,3,1,,
09/17/2024,Earlham,Heidelberg,L 1-3,344.0,5671504,L,1,3,1,,
09/17/2024,Drew,Montclair St.,L 1-3,80.0,5671463,L,1,3,1,,
09/17/2024,Elizabethtown,Penn St.-Berks,W 3-1,63.0,5671510,W,3,1,1,,
09/17/2024,Goucher,Widener,L 0-3,95.0,5671464,L,0,3,1,,
09/17/2024,Wilkes,Misericordia,L 0-3,115.0,5671468,L,0,3,1,,
09/17/2024,Albright,Cairn,W 3-2,97.0,5671457,W,3,2,1,,
09/17/2024,Hood,Lancaster Bible,L 1-3,134.0,5671517,L,1,3,1,,
09/17/2024,FDU-Florham,St. Joseph's (Brkln),W 3-1,105.0,5671492,W,3,1,1,,
09/17/2024,King's (PA),Penn College,W 3-0,50.0,5671433,W,3,0,1,,
09/17/2024,Mass. Maritime,Lesley,W 3-0,35.0,5671496,W,3,0,1,,
09/17/2024,Hamline,North Central (MN),W 3-1,172.0,5671522,W,3,1,1,,
09/17/2024,Beloit,MSOE,L 0-3,63.0,5671460,L,0,3,1,,
09/17/2024,Illinois Col.,Greenville,W 3-2,184.0,5671497,W,3,2,1,,
09/17/2024,Lawrence,Wis.-Stout,L 0-3,222.0,5671491,L,0,3,1,,
09/17/2024,Benedictine (IL),Lakeland,L 1-3,210.0,5671495,L,1,3,1,,
09/17/2024,Concordia Wisconsin,Rockford,W 3-0,1527.0,5671507,W,3,0,1,,
09/17/2024,Oberlin,Allegheny,L 0-3,48.0,5671493,L,0,3,1,,
09/17/2024,Amherst,Clark (MA),W 3-0,50.0,5681189,W,3,0,1,,
09/17/2024,Trinity (CT),Coast Guard,W 3-2,76.0,5671429,W,3,2,1,,
09/17/2024,New Jersey City,SUNY Maritime,W 3-0,59.0,5671469,W,3,0,1,,
09/17/2024,Lewis & Clark,Willamette,L 1-3,75.0,5671474,L,1,3,1,,
09/17/2024,Linfield,Pacific (OR),L 1-3,152.0,5671520,L,1,3,1,,
09/17/2024,Marietta,Bethany (WV),W 3-0,115.0,5671511,W,3,0,1,,
09/17/2024,East. Mennonite,Hollins,W 3-0,132.0,5671519,W,3,0,1,,
09/17/2024,Ferrum,Wash. & Lee,L 0-3,150.0,5671452,L,0,3,1,,
09/17/2024,Randolph,Randolph-Macon,L 0-3,250.0,5671501,L,0,3,1,,
09/17/2024,Eureka,Webster,W 3-2,100.0,5671477,W,3,2,1,,
09/17/2024,Principia,Spalding,L 0-3,147.0,5671394,L,0,3,1,,
09/17/2024,Sarah Lawrence,Yeshiva,W 3-1,48.0,5671488,W,3,1,1,,
09/17/2024,Methodist,Salem (NC),W 3-1,263.0,5671471,W,3,1,1,,
09/17/2024,Penn St. Brandywine,Rosemont,W 3-0,90.0,5671484,W,3,0,1,,
09/18/2024,Carlow,Wash. & Jeff.,L 1-3,102.0,5671527,L,1,3,1,,
09/18/2024,La Roche,Saint Vincent,W 3-2,197.0,5671506,W,3,2,1,,
09/18/2024,Simpson,Grinnell,L 2-3,94.0,5671419,L,2,3,1,,
09/18/2024,Marymount (VA),Stevenson,L 0-3,98.0,5671568,L,0,3,1,,
09/18/2024,Marywood,SUNY Delhi,W 3-2,108.0,5671580,W,3,2,1,,
09/18/2024,UC Santa Cruz,Haverford,W 3-0,47.0,5671539,W,3,0,1,,
09/18/2024,Augustana (IL),Millikin,L 1-3,120.0,5671585,L,1,3,1,,
09/18/2024,Carroll (WI),Carthage,L 0-3,150.0,5671563,L,0,3,1,,
09/18/2024,Ill. Wesleyan,Wheaton (IL),W 3-0,182.0,5671587,W,3,0,1,,
09/18/2024,Asbury,Hanover,L 0-3,73.0,5671594,L,0,3,1,,
09/18/2024,Gordon,JWU (Providence),L 1-3,55.0,5671592,L,1,3,1,,
09/18/2024,Nichols,Bridgewater St.,L 0-3,90.0,5671546,L,0,3,1,,
09/18/2024,Western New Eng.,Elms,W 3-1,316.0,5671543,W,3,1,1,,
09/18/2024,Lehman,Saint Elizabeth,L 0-3,52.0,5671541,L,0,3,1,,
09/18/2024,Dickinson,Messiah,L 0-3,75.0,5671593,L,0,3,1,,
09/18/2024,Nazareth,Rochester (NY),L 0-3,211.0,5671533,L,0,3,1,,
09/18/2024,Russell Sage,Bard,W 3-1,128.0,5671529,W,3,1,1,,
09/18/2024,SUNY Poly,SUNY Cobleskill,L 1-3,111.0,5671597,L,1,3,1,,
09/18/2024,Utica,Union (NY),L 0-3,145.0,5671578,L,0,3,1,,
09/18/2024,Dean,UMass Boston,L 0-3,120.0,5671538,L,0,3,1,,
09/18/2024,Lasell,Wheaton (MA),L 0-3,174.0,5671591,L,0,3,1,,
09/18/2024,Rivier,Keene St.,W 3-2,121.0,5671583,W,3,2,1,,
09/18/2024,Anderson (IN),Wilmington (OH),W 3-0,184.0,5671569,W,3,0,1,,
09/18/2024,Bluffton,Ohio Northern,L 0-3,500.0,5671556,L,0,3,1,,
09/18/2024,Manchester,Trine,L 0-3,278.0,5671554,L,0,3,1,,
09/18/2024,Rose-Hulman,DePauw,L 1-3,54.0,5671576,L,1,3,1,,
09/18/2024,Moravian,Cedar Crest,W 3-0,76.0,5671586,W,3,0,1,,
09/18/2024,WestConn,Farmingdale St.,W 3-1,122.0,5671598,W,3,1,1,,
09/18/2024,DeSales,Wm. Paterson,L 0-3,100.0,5671581,L,0,3,1,,
09/18/2024,Delaware Valley,Penn St.-Abington,L 1-3,137.0,5671582,L,1,3,1,,
09/18/2024,Lebanon Valley,Penn St. Harrisburg,W 3-0,189.0,5671574,W,3,0,1,,
09/18/2024,Macalester,Martin Luther,W 3-0,60.0,5671570,W,3,0,1,,
09/18/2024,Kalamazoo,St. Mary's (IN),L 1-3,53.0,5671572,L,1,3,1,,
09/18/2024,Aurora,Marian (WI),W 3-0,171.0,5671577,W,3,0,1,,
09/18/2024,Concordia Chicago,Wis. Lutheran,L 0-3,188.0,5671537,L,0,3,1,,
09/18/2024,Denison,Capital,L 1-3,93.0,5671561,L,1,3,1,,
09/18/2024,Hiram,Mount Union,L 0-3,135.0,5671589,L,0,3,1,,
09/18/2024,Ohio Wesleyan,Otterbein,L 1-3,157.0,5671547,L,1,3,1,,
09/18/2024,Averett,Guilford,W 3-0,100.0,5671526,W,3,0,1,,
09/18/2024,Bridgewater (VA),Lynchburg,W 3-1,165.0,5682660,W,3,1,1,,
09/18/2024,Blackburn,Westminster (MO),L 0-3,300.0,5671558,L,0,3,1,,
09/18/2024,Meredith,N.C. Wesleyan,W 3-0,81.0,5671584,W,3,0,1,,
09/18/2024,Pfeiffer,William Peace,L 0-3,134.0,5671540,L,0,3,1,,
09/18/2024,UW-River Falls,Wis.-La Crosse,W 3-1,585.0,5671555,W,3,1,1,,
09/18/2024,Wis.-Eau Claire,Wis.-Stevens Point,L 1-3,444.0,5671590,L,1,3,1,,
09/18/2024,Wis.-Oshkosh,Wis.-Whitewater,W 3-2,2043.0,5671562,W,3,2,1,,
09/19/2024,Carlow,Chatham,L 0-3,109.0,5671682,L,0,3,1,,
09/19/2024,Penn St.-Altoona,Penn College,W 3-0,35.0,5671720,W,3,0,1,,
09/19/2024,Gwynedd Mercy,Alvernia,W 3-2,79.0,5671704,W,3,2,1,,
09/19/2024,Immaculata,Widener,L 0-3,83.0,5671718,L,0,3,1,,
09/19/2024,Neumann,St. Mary's (MD),L 2-3,75.0,5671684,L,2,3,1,,
09/19/2024,Pratt,CCNY,W 3-2,65.0,5671687,W,3,2,1,,
09/19/2024,Elmhurst,North Park,L 1-3,118.0,5671699,L,1,3,1,,
09/19/2024,Nichols,Mass. Maritime,W 3-0,87.0,5671678,W,3,0,1,,
